Company,Plant Name,Company Segment,ISO,Type,Plant ID,Capacity(MW),ISO Sub Zone,Primary Type
CEG,Croydon,Mid-Atlantic,PJM,Gas-Oil ST/CT,8012,391,PECO,Gas-Oil ST/CT
CEG,Handsome Lake,Mid-Atlantic,PJM,Gas-Oil ST/CT,55233,268,PENELEC,Gas-Oil ST/CT
CEG,Richmond,Mid-Atlantic,PJM,Gas-Oil ST/CT,3168,98,PECO,Gas-Oil ST/CT
CEG,Philadelphia Rd,Mid-Atlantic,PJM,Gas-Oil ST/CT,1557,61,BGE,Gas-Oil ST/CT
CEG,Delaware,Mid-Atlantic,PJM,Gas-Oil ST/CT,3160,56,PECO,Gas-Oil ST/CT
CEG,Southwark,Mid-Atlantic,PJM,Gas-Oil ST/CT,3170,52,PECO,Gas-Oil ST/CT
CEG,Falls,Mid-Atlantic,PJM,Gas-Oil ST/CT,3162,51,PECO,Gas-Oil ST/CT
CEG,Moser,Mid-Atlantic,PJM,Gas-Oil ST/CT,3163,51,PECO,Gas-Oil ST/CT
CEG,Chester,Mid-Atlantic,PJM,Gas-Oil ST/CT,3157,39,PECO,Gas-Oil ST/CT
CEG,Schuylkill,Mid-Atlantic,PJM,Gas-Oil ST/CT,3169,30,PECO,Gas-Oil ST/CT
CEG,Mystic 8.9,Others,ISO-NE,Gas CCGT,1588,1413,MA (NE),Gas CCGT
CEG,West Medway II,Others,ISO-NE,Gas-Oil ST/CT,59882,191,MA (SE),Gas-Oil ST/CT
CEG,West Medway,Others,ISO-NE,Gas-Oil ST/CT,1592,124,MA (SE),Gas-Oil ST/CT
CEG,Wyman 4,Others,ISO-NE,Gas-Oil ST/CT,1507,593,ME,Gas-Oil ST/CT
CEG,Framingham,Others,ISO-NE,Gas-Oil ST/CT,1586,31,MA (SE),Gas-Oil ST/CT
CEG,Hillabee,Others,SERC,Gas CCGT,55411,753,Southern,Gas CCGT
TLNE,Barney Davis,West,ERCOT,Gas CCGT/ST/CT,4939,897,South,Gas CCGT
TLNE,Nueces Bay,West,ERCOT,Gas CCGT,3441,635,South,Gas CCGT
TLNE,Laredo,West,ERCOT,Gas-Oil ST/CT,3439,179,South,Gas-Oil ST/CT
TLNE,Conemaugh,East,PJM,Coal/Gas-Oil ST/CT,3118,"1,756",PENELEC,Coal
TLNE,Keystone,East,PJM,Coal/Gas-Oil ST/CT,3136,"1,735",APS,Coal
TLNE,Martins Creek,East,PJM,Coal/Gas-Oil ST/CT,3148,"1,719",METED,Gas-Oil ST/CT
TLNE,Montour,East,PJM,Coal,3149,"1,508",PPL,Coal
TLNE,Brunner Island,East,PJM,Gas-Oil ST/CT,3140,"1,424",METED,Gas-Oil ST/CT
TLNE,Brandon shores,East,PJM,Coal,602,"1,295",BGE,Coal
TLNE,HA Wagner,East,PJM,Coal/Gas-Oil ST/CT,1554,827,BGE,Gas-Oil ST/CT
TLNE,Lower Mt. Bethel,East,PJM,Gas CCGT,55667,610,METED,Gas CCGT
TLNE,Camden,East,PJM,Gas CCGT,10751,145,ACE,Gas CCGT
TLNE,Colstrip,East,NWMT,Coal,6076,"1,518",Mountain,Coal
TLNE,Dartmouth,East,ISO-NE,Gas CCGT/ST/CT,52026,80,MA (SE),Gas CCGT
Heritage Power,Shawville,,PJM,Gas-Oil ST/CT,3131,590,PENELEC,Gas-Oil ST/CT
Heritage Power,Gilbert,,PJM,Gas CCGT/ST/CT,2393,499,JCPL,Gas CCGT
Heritage Power,New Castle,,PJM,Gas-Oil ST/CT,3138,320,ATSI,Gas-Oil ST/CT
Heritage Power,Brunot Island,,PJM,Gas CCGT/ST/CT,3096,279,DUQ,Gas CCGT
Heritage Power,Sayreville,,PJM,Gas-Oil ST/CT,2390,280,PSEG,Gas-Oil ST/CT
Heritage Power,Portland,,PJM,Gas-Oil ST/CT,3113,190,METED,Gas-Oil ST/CT
Heritage Power,Hunterstow n,,PJM,Gas-Oil ST/CT,3110,60,METED,Gas-Oil ST/CT
Heritage Power,Warren,,PJM,Gas-Oil ST/CT,3132,50,PENELEC,Gas-Oil ST/CT
Heritage Power,Mountain,,PJM,Gas-Oil ST/CT,3111,50,PPL,Gas-Oil ST/CT
Heritage Power,Tolna,,PJM,Gas-Oil ST/CT,3116,50,METED,Gas-Oil ST/CT
Heritage Power,Titus,,PJM,Gas-Oil ST/CT,3115,35,METED,Gas-Oil ST/CT
Heritage Power,Niles,,PJM,Gas-Oil ST/CT,2861,30,ATSI,Gas-Oil ST/CT
Heritage Power,Orrtanna,,PJM,Gas-Oil ST/CT,3112,26,METED,Gas-Oil ST/CT
Heritage Power,Hamilton,,PJM,Gas-Oil ST/CT,3109,24,METED,Gas-Oil ST/CT
Heritage Power,Shaw nee,,PJM,Gas-Oil ST/CT,3114,24,PPL,Gas-Oil ST/CT
Heritage Power,Blossburg,,PJM,Gas-Oil ST/CT,3120,19,PENELEC,Gas-Oil ST/CT
